date,quarter,borough,metric,metric_value
7/1/2016,Q2_1617,Enfield,Trust MPS,0.81
10/1/2016,Q3_1617,Enfield,Trust MPS,0.83
1/1/2017,Q4_1617,Enfield,Trust MPS,0.83
4/1/2017,Q1_1718,Enfield,Trust MPS,0.82
7/1/2017,Q2_1718,Enfield,Trust MPS,0.83
10/1/2017,Q3_1718,Enfield,Trust MPS,0.8
1/1/2018,Q4_1718,Enfield,Trust MPS,0.79
4/1/2018,Q1_1819,Enfield,Trust MPS,0.82
7/1/2018,Q2_1819,Enfield,Trust MPS,0.79
10/1/2018,Q3_1819,Enfield,Trust MPS,0.79
1/1/2019,Q4_1819,Enfield,Trust MPS,0.81
4/1/2019,Q1_1920,Enfield,Trust MPS,0.76
7/1/2019,Q2_1920,Enfield,Trust MPS,0.76
10/1/2019,Q3_1920,Enfield,Trust MPS,0.76
1/1/2020,Q4_1920,Enfield,Trust MPS,0.74
4/1/2020,Q1_2021,Enfield,Trust MPS,0.78
7/1/2020,Q2_2021,Enfield,Trust MPS,0.78
10/1/2020,Q3_2021,Enfield,Trust MPS,0.77
1/1/2021,Q4_2021,Enfield,Trust MPS,0.77
4/1/2021,Q1_2122,Enfield,Trust MPS,0.75
7/1/2021,Q2_2122,Enfield,Trust MPS,0.74
10/1/2021,Q3_2122,Enfield,Trust MPS,0.73
1/1/2022,Q4_2122,Enfield,Trust MPS,0.7
4/1/2022,Q1_2223,Enfield,Trust MPS,0.68
7/1/2022,Q2_2223,Enfield,Trust MPS,0.67
10/1/2022,Q3_2223,Enfield,Trust MPS,0.7
1/1/2023,Q4_2223,Enfield,Trust MPS,0.7
4/1/2023,Q1_2324,Enfield,Trust MPS,0.7
7/1/2023,Q2_2324,Enfield,Trust MPS,0.69
10/1/2023,Q3_2324,Enfield,Trust MPS,0.66
1/1/2024,Q4_2324,Enfield,Trust MPS,0.67
4/1/2024,Q1_2425,Enfield,Trust MPS,0.67
7/1/2024,Q2_2425,Enfield,Trust MPS,0.71
10/1/2024,Q3_2425,Enfield,Trust MPS,0.76
1/1/2025,Q4_2425,Enfield,Trust MPS,0.79
4/1/2025,Q1_2526,Enfield,Trust MPS,0.81
7/1/2025,Q2_2526,Enfield,Trust MPS,0.79
10/1/2025,Q3_2526,Enfield,Trust MPS,0.74
1/1/2026,Q4_2526,Enfield,Trust MPS,0.75
10/1/2014,Q3_1415,Enfield,Fair treatment,0.77
1/1/2015,Q4_1415,Enfield,Fair treatment,0.71
4/1/2015,Q1_1516,Enfield,Fair treatment,0.72
7/1/2015,Q2_1516,Enfield,Fair treatment,0.71
10/1/2015,Q3_1516,Enfield,Fair treatment,0.72
1/1/2016,Q4_1516,Enfield,Fair treatment,0.74
4/1/2016,Q1_1617,Enfield,Fair treatment,0.73
7/1/2016,Q2_1617,Enfield,Fair treatment,0.71
10/1/2016,Q3_1617,Enfield,Fair treatment,0.72
1/1/2017,Q4_1617,Enfield,Fair treatment,0.69
4/1/2017,Q1_1718,Enfield,Fair treatment,0.68
7/1/2017,Q2_1718,Enfield,Fair treatment,0.7
10/1/2017,Q3_1718,Enfield,Fair treatment,0.65
1/1/2018,Q4_1718,Enfield,Fair treatment,0.67
4/1/2018,Q1_1819,Enfield,Fair treatment,0.69
7/1/2018,Q2_1819,Enfield,Fair treatment,0.68
10/1/2018,Q3_1819,Enfield,Fair treatment,0.7
1/1/2019,Q4_1819,Enfield,Fair treatment,0.7
4/1/2019,Q1_1920,Enfield,Fair treatment,0.66
7/1/2019,Q2_1920,Enfield,Fair treatment,0.64
10/1/2019,Q3_1920,Enfield,Fair treatment,0.67
1/1/2020,Q4_1920,Enfield,Fair treatment,0.63
4/1/2020,Q1_2021,Enfield,Fair treatment,0.67
7/1/2020,Q2_2021,Enfield,Fair treatment,0.7
10/1/2020,Q3_2021,Enfield,Fair treatment,0.68
1/1/2021,Q4_2021,Enfield,Fair treatment,0.71
4/1/2021,Q1_2122,Enfield,Fair treatment,0.67
7/1/2021,Q2_2122,Enfield,Fair treatment,0.64
10/1/2021,Q3_2122,Enfield,Fair treatment,0.62
1/1/2022,Q4_2122,Enfield,Fair treatment,0.58
4/1/2022,Q1_2223,Enfield,Fair treatment,0.61
7/1/2022,Q2_2223,Enfield,Fair treatment,0.61
10/1/2022,Q3_2223,Enfield,Fair treatment,0.65
1/1/2023,Q4_2223,Enfield,Fair treatment,0.65
4/1/2023,Q1_2324,Enfield,Fair treatment,0.66
7/1/2023,Q2_2324,Enfield,Fair treatment,0.67
10/1/2023,Q3_2324,Enfield,Fair treatment,0.62
1/1/2024,Q4_2324,Enfield,Fair treatment,0.63
4/1/2024,Q1_2425,Enfield,Fair treatment,0.59
7/1/2024,Q2_2425,Enfield,Fair treatment,0.59
10/1/2024,Q3_2425,Enfield,Fair treatment,0.63
1/1/2025,Q4_2425,Enfield,Fair treatment,0.65
4/1/2025,Q1_2526,Enfield,Fair treatment,0.67
7/1/2025,Q2_2526,Enfield,Fair treatment,0.69
10/1/2025,Q3_2526,Enfield,Fair treatment,0.68
1/1/2026,Q4_2526,Enfield,Fair treatment,0.7
10/1/2014,Q3_1415,Greenwich,Good job,0.67
1/1/2015,Q4_1415,Greenwich,Good job,0.73
4/1/2015,Q1_1516,Greenwich,Good job,0.69
7/1/2015,Q2_1516,Greenwich,Good job,0.72
10/1/2015,Q3_1516,Greenwich,Good job,0.69
1/1/2016,Q4_1516,Greenwich,Good job,0.65
4/1/2016,Q1_1617,Greenwich,Good job,0.7
7/1/2016,Q2_1617,Greenwich,Good job,0.71
10/1/2016,Q3_1617,Greenwich,Good job,0.76
1/1/2017,Q4_1617,Greenwich,Good job,0.79
4/1/2017,Q1_1718,Greenwich,Good job,0.74
7/1/2017,Q2_1718,Greenwich,Good job,0.73
10/1/2017,Q3_1718,Greenwich,Good job,0.69
1/1/2018,Q4_1718,Greenwich,Good job,0.66
4/1/2018,Q1_1819,Greenwich,Good job,0.69
7/1/2018,Q2_1819,Greenwich,Good job,0.69
10/1/2018,Q3_1819,Greenwich,Good job,0.68
1/1/2019,Q4_1819,Greenwich,Good job,0.67
4/1/2019,Q1_1920,Greenwich,Good job,0.62
7/1/2019,Q2_1920,Greenwich,Good job,0.57
10/1/2019,Q3_1920,Greenwich,Good job,0.55
1/1/2020,Q4_1920,Greenwich,Good job,0.55
4/1/2020,Q1_2021,Greenwich,Good job,0.55
7/1/2020,Q2_2021,Greenwich,Good job,0.56
10/1/2020,Q3_2021,Greenwich,Good job,0.55
1/1/2021,Q4_2021,Greenwich,Good job,0.56
4/1/2021,Q1_2122,Greenwich,Good job,0.55
7/1/2021,Q2_2122,Greenwich,Good job,0.55
10/1/2021,Q3_2122,Greenwich,Good job,0.5
1/1/2022,Q4_2122,Greenwich,Good job,0.45
4/1/2022,Q1_2223,Greenwich,Good job,0.45
7/1/2022,Q2_2223,Greenwich,Good job,0.45
10/1/2022,Q3_2223,Greenwich,Good job,0.48
1/1/2023,Q4_2223,Greenwich,Good job,0.5
4/1/2023,Q1_2324,Greenwich,Good job,0.46
7/1/2023,Q2_2324,Greenwich,Good job,0.45
10/1/2023,Q3_2324,Greenwich,Good job,0.47
1/1/2024,Q4_2324,Greenwich,Good job,0.46
4/1/2024,Q1_2425,Greenwich,Good job,0.5
7/1/2024,Q2_2425,Greenwich,Good job,0.5
10/1/2024,Q3_2425,Greenwich,Good job,0.48
1/1/2025,Q4_2425,Greenwich,Good job,0.46
4/1/2025,Q1_2526,Greenwich,Good job,0.47
7/1/2025,Q2_2526,Greenwich,Good job,0.47
10/1/2025,Q3_2526,Greenwich,Good job,0.48
1/1/2026,Q4_2526,Greenwich,Good job,0.52
1/1/2016,Q4_1516,Greenwich,Trust MPS,0.86
4/1/2016,Q1_1617,Greenwich,Trust MPS,0.87
7/1/2016,Q2_1617,Greenwich,Trust MPS,0.89
10/1/2016,Q3_1617,Greenwich,Trust MPS,0.93
1/1/2017,Q4_1617,Greenwich,Trust MPS,0.94
4/1/2017,Q1_1718,Greenwich,Trust MPS,0.92
7/1/2017,Q2_1718,Greenwich,Trust MPS,0.9
10/1/2017,Q3_1718,Greenwich,Trust MPS,0.89
1/1/2018,Q4_1718,Greenwich,Trust MPS,0.87
4/1/2018,Q1_1819,Greenwich,Trust MPS,0.87
7/1/2018,Q2_1819,Greenwich,Trust MPS,0.87
10/1/2018,Q3_1819,Greenwich,Trust MPS,0.84
1/1/2019,Q4_1819,Greenwich,Trust MPS,0.83
4/1/2019,Q1_1920,Greenwich,Trust MPS,0.81
7/1/2019,Q2_1920,Greenwich,Trust MPS,0.81
10/1/2019,Q3_1920,Greenwich,Trust MPS,0.8
1/1/2020,Q4_1920,Greenwich,Trust MPS,0.81
4/1/2020,Q1_2021,Greenwich,Trust MPS,0.82
7/1/2020,Q2_2021,Greenwich,Trust MPS,0.82
10/1/2020,Q3_2021,Greenwich,Trust MPS,0.79
1/1/2021,Q4_2021,Greenwich,Trust MPS,0.76
4/1/2021,Q1_2122,Greenwich,Trust MPS,0.75
7/1/2021,Q2_2122,Greenwich,Trust MPS,0.74
10/1/2021,Q3_2122,Greenwich,Trust MPS,0.72
1/1/2022,Q4_2122,Greenwich,Trust MPS,0.72
4/1/2022,Q1_2223,Greenwich,Trust MPS,0.68
7/1/2022,Q2_2223,Greenwich,Trust MPS,0.67
10/1/2022,Q3_2223,Greenwich,Trust MPS,0.68
1/1/2023,Q4_2223,Greenwich,Trust MPS,0.68
4/1/2023,Q1_2324,Greenwich,Trust MPS,0.68
7/1/2023,Q2_2324,Greenwich,Trust MPS,0.67
10/1/2023,Q3_2324,Greenwich,Trust MPS,0.68
1/1/2024,Q4_2324,Greenwich,Trust MPS,0.65
4/1/2024,Q1_2425,Greenwich,Trust MPS,0.69
7/1/2024,Q2_2425,Greenwich,Trust MPS,0.7
10/1/2024,Q3_2425,Greenwich,Trust MPS,0.73
1/1/2025,Q4_2425,Greenwich,Trust MPS,0.75
4/1/2025,Q1_2526,Greenwich,Trust MPS,0.74
7/1/2025,Q2_2526,Greenwich,Trust MPS,0.74
10/1/2025,Q3_2526,Greenwich,Trust MPS,0.7
1/1/2026,Q4_2526,Greenwich,Trust MPS,0.69
10/1/2014,Q3_1415,Greenwich,Fair treatment,0.73
1/1/2015,Q4_1415,Greenwich,Fair treatment,0.76
4/1/2015,Q1_1516,Greenwich,Fair treatment,0.74
7/1/2015,Q2_1516,Greenwich,Fair treatment,0.81
10/1/2015,Q3_1516,Greenwich,Fair treatment,0.83
1/1/2016,Q4_1516,Greenwich,Fair treatment,0.8
4/1/2016,Q1_1617,Greenwich,Fair treatment,0.85
7/1/2016,Q2_1617,Greenwich,Fair treatment,0.85
10/1/2016,Q3_1617,Greenwich,Fair treatment,0.87
1/1/2017,Q4_1617,Greenwich,Fair treatment,0.89
4/1/2017,Q1_1718,Greenwich,Fair treatment,0.82
7/1/2017,Q2_1718,Greenwich,Fair treatment,0.82
10/1/2017,Q3_1718,Greenwich,Fair treatment,0.79
1/1/2018,Q4_1718,Greenwich,Fair treatment,0.78
4/1/2018,Q1_1819,Greenwich,Fair treatment,0.81
7/1/2018,Q2_1819,Greenwich,Fair treatment,0.78
10/1/2018,Q3_1819,Greenwich,Fair treatment,0.75
1/1/2019,Q4_1819,Greenwich,Fair treatment,0.74
4/1/2019,Q1_1920,Greenwich,Fair treatment,0.76
7/1/2019,Q2_1920,Greenwich,Fair treatment,0.8
10/1/2019,Q3_1920,Greenwich,Fair treatment,0.83
1/1/2020,Q4_1920,Greenwich,Fair treatment,0.82
4/1/2020,Q1_2021,Greenwich,Fair treatment,0.79
7/1/2020,Q2_2021,Greenwich,Fair treatment,0.76
10/1/2020,Q3_2021,Greenwich,Fair treatment,0.71
1/1/2021,Q4_2021,Greenwich,Fair treatment,0.71
4/1/2021,Q1_2122,Greenwich,Fair treatment,0.7
7/1/2021,Q2_2122,Greenwich,Fair treatment,0.66
10/1/2021,Q3_2122,Greenwich,Fair treatment,0.64
1/1/2022,Q4_2122,Greenwich,Fair treatment,0.6
4/1/2022,Q1_2223,Greenwich,Fair treatment,0.58
7/1/2022,Q2_2223,Greenwich,Fair treatment,0.6
10/1/2022,Q3_2223,Greenwich,Fair treatment,0.59
1/1/2023,Q4_2223,Greenwich,Fair treatment,0.62
4/1/2023,Q1_2324,Greenwich,Fair treatment,0.62
7/1/2023,Q2_2324,Greenwich,Fair treatment,0.6
10/1/2023,Q3_2324,Greenwich,Fair treatment,0.61
1/1/2024,Q4_2324,Greenwich,Fair treatment,0.59
4/1/2024,Q1_2425,Greenwich,Fair treatment,0.61
7/1/2024,Q2_2425,Greenwich,Fair treatment,0.62
10/1/2024,Q3_2425,Greenwich,Fair treatment,0.65
1/1/2025,Q4_2425,Greenwich,Fair treatment,0.67
4/1/2025,Q1_2526,Greenwich,Fair treatment,0.67
7/1/2025,Q2_2526,Greenwich,Fair treatment,0.71
10/1/2025,Q3_2526,Greenwich,Fair treatment,0.73
1/1/2026,Q4_2526,Greenwich,Fair treatment,0.74
10/1/2014,Q3_1415,Hackney,Good job,0.65
1/1/2015,Q4_1415,Hackney,Good job,0.6
4/1/2015,Q1_1516,Hackney,Good job,0.63
7/1/2015,Q2_1516,Hackney,Good job,0.65
10/1/2015,Q3_1516,Hackney,Good job,0.65
1/1/2016,Q4_1516,Hackney,Good job,0.64
4/1/2016,Q1_1617,Hackney,Good job,0.65
7/1/2016,Q2_1617,Hackney,Good job,0.68
10/1/2016,Q3_1617,Hackney,Good job,0.69
1/1/2017,Q4_1617,Hackney,Good job,0.68
4/1/2017,Q1_1718,Hackney,Good job,0.65
7/1/2017,Q2_1718,Hackney,Good job,0.55
10/1/2017,Q3_1718,Hackney,Good job,0.55
1/1/2018,Q4_1718,Hackney,Good job,0.55
4/1/2018,Q1_1819,Hackney,Good job,0.54
7/1/2018,Q2_1819,Hackney,Good job,0.56
10/1/2018,Q3_1819,Hackney,Good job,0.53
1/1/2019,Q4_1819,Hackney,Good job,0.5
4/1/2019,Q1_1920,Hackney,Good job,0.45
7/1/2019,Q2_1920,Hackney,Good job,0.44
10/1/2019,Q3_1920,Hackney,Good job,0.46
1/1/2020,Q4_1920,Hackney,Good job,0.42
4/1/2020,Q1_2021,Hackney,Good job,0.46
7/1/2020,Q2_2021,Hackney,Good job,0.47
10/1/2020,Q3_2021,Hackney,Good job,0.45
1/1/2021,Q4_2021,Hackney,Good job,0.5
4/1/2021,Q1_2122,Hackney,Good job,0.49
7/1/2021,Q2_2122,Hackney,Good job,0.48
10/1/2021,Q3_2122,Hackney,Good job,0.46
1/1/2022,Q4_2122,Hackney,Good job,0.46
4/1/2022,Q1_2223,Hackney,Good job,0.45
7/1/2022,Q2_2223,Hackney,Good job,0.47
10/1/2022,Q3_2223,Hackney,Good job,0.45
1/1/2023,Q4_2223,Hackney,Good job,0.42
4/1/2023,Q1_2324,Hackney,Good job,0.4
7/1/2023,Q2_2324,Hackney,Good job,0.4
10/1/2023,Q3_2324,Hackney,Good job,0.41
1/1/2024,Q4_2324,Hackney,Good job,0.41
4/1/2024,Q1_2425,Hackney,Good job,0.41
7/1/2024,Q2_2425,Hackney,Good job,0.37
10/1/2024,Q3_2425,Hackney,Good job,0.4
1/1/2025,Q4_2425,Hackney,Good job,0.41
4/1/2025,Q1_2526,Hackney,Good job,0.41
7/1/2025,Q2_2526,Hackney,Good job,0.44
10/1/2025,Q3_2526,Hackney,Good job,0.41
1/1/2026,Q4_2526,Hackney,Good job,0.44
1/1/2016,Q4_1516,Hackney,Trust MPS,0.82
4/1/2016,Q1_1617,Hackney,Trust MPS,0.86
7/1/2016,Q2_1617,Hackney,Trust MPS,0.85
10/1/2016,Q3_1617,Hackney,Trust MPS,0.86
1/1/2017,Q4_1617,Hackney,Trust MPS,0.86
4/1/2017,Q1_1718,Hackney,Trust MPS,0.81
7/1/2017,Q2_1718,Hackney,Trust MPS,0.8
10/1/2017,Q3_1718,Hackney,Trust MPS,0.78
1/1/2018,Q4_1718,Hackney,Trust MPS,0.78
4/1/2018,Q1_1819,Hackney,Trust MPS,0.82
7/1/2018,Q2_1819,Hackney,Trust MPS,0.83
10/1/2018,Q3_1819,Hackney,Trust MPS,0.79
1/1/2019,Q4_1819,Hackney,Trust MPS,0.77
4/1/2019,Q1_1920,Hackney,Trust MPS,0.74
7/1/2019,Q2_1920,Hackney,Trust MPS,0.73
10/1/2019,Q3_1920,Hackney,Trust MPS,0.75
1/1/2020,Q4_1920,Hackney,Trust MPS,0.72
4/1/2020,Q1_2021,Hackney,Trust MPS,0.75
7/1/2020,Q2_2021,Hackney,Trust MPS,0.73
10/1/2020,Q3_2021,Hackney,Trust MPS,0.72
1/1/2021,Q4_2021,Hackney,Trust MPS,0.74
4/1/2021,Q1_2122,Hackney,Trust MPS,0.69
7/1/2021,Q2_2122,Hackney,Trust MPS,0.69
10/1/2021,Q3_2122,Hackney,Trust MPS,0.67
1/1/2022,Q4_2122,Hackney,Trust MPS,0.68
4/1/2022,Q1_2223,Hackney,Trust MPS,0.67
7/1/2022,Q2_2223,Hackney,Trust MPS,0.67
10/1/2022,Q3_2223,Hackney,Trust MPS,0.65
1/1/2023,Q4_2223,Hackney,Trust MPS,0.62
4/1/2023,Q1_2324,Hackney,Trust MPS,0.58
7/1/2023,Q2_2324,Hackney,Trust MPS,0.59
10/1/2023,Q3_2324,Hackney,Trust MPS,0.59
1/1/2024,Q4_2324,Hackney,Trust MPS,0.59
4/1/2024,Q1_2425,Hackney,Trust MPS,0.65
7/1/2024,Q2_2425,Hackney,Trust MPS,0.65
10/1/2024,Q3_2425,Hackney,Trust MPS,0.68
1/1/2025,Q4_2425,Hackney,Trust MPS,0.7
4/1/2025,Q1_2526,Hackney,Trust MPS,0.68
7/1/2025,Q2_2526,Hackney,Trust MPS,0.65
10/1/2025,Q3_2526,Hackney,Trust MPS,0.59
1/1/2026,Q4_2526,Hackney,Trust MPS,0.59
10/1/2014,Q3_1415,Hackney,Fair treatment,0.72
1/1/2015,Q4_1415,Hackney,Fair treatment,0.7
4/1/2015,Q1_1516,Hackney,Fair treatment,0.65
7/1/2015,Q2_1516,Hackney,Fair treatment,0.63
10/1/2015,Q3_1516,Hackney,Fair treatment,0.61
1/1/2016,Q4_1516,Hackney,Fair treatment,0.64
4/1/2016,Q1_1617,Hackney,Fair treatment,0.66
7/1/2016,Q2_1617,Hackney,Fair treatment,0.76
10/1/2016,Q3_1617,Hackney,Fair treatment,0.79
1/1/2017,Q4_1617,Hackney,Fair treatment,0.8
4/1/2017,Q1_1718,Hackney,Fair treatment,0.74
7/1/2017,Q2_1718,Hackney,Fair treatment,0.65
10/1/2017,Q3_1718,Hackney,Fair treatment,0.6
1/1/2018,Q4_1718,Hackney,Fair treatment,0.54
4/1/2018,Q1_1819,Hackney,Fair treatment,0.54
7/1/2018,Q2_1819,Hackney,Fair treatment,0.55
10/1/2018,Q3_1819,Hackney,Fair treatment,0.54
1/1/2019,Q4_1819,Hackney,Fair treatment,0.52
4/1/2019,Q1_1920,Hackney,Fair treatment,0.52
7/1/2019,Q2_1920,Hackney,Fair treatment,0.48
10/1/2019,Q3_1920,Hackney,Fair treatment,0.47
1/1/2020,Q4_1920,Hackney,Fair treatment,0.48
4/1/2020,Q1_2021,Hackney,Fair treatment,0.53
7/1/2020,Q2_2021,Hackney,Fair treatment,0.56
10/1/2020,Q3_2021,Hackney,Fair treatment,0.6
1/1/2021,Q4_2021,Hackney,Fair treatment,0.6
4/1/2021,Q1_2122,Hackney,Fair treatment,0.56
7/1/2021,Q2_2122,Hackney,Fair treatment,0.54
10/1/2021,Q3_2122,Hackney,Fair treatment,0.51
1/1/2022,Q4_2122,Hackney,Fair treatment,0.55
4/1/2022,Q1_2223,Hackney,Fair treatment,0.54
7/1/2022,Q2_2223,Hackney,Fair treatment,0.56
10/1/2022,Q3_2223,Hackney,Fair treatment,0.55
1/1/2023,Q4_2223,Hackney,Fair treatment,0.51
4/1/2023,Q1_2324,Hackney,Fair treatment,0.48
7/1/2023,Q2_2324,Hackney,Fair treatment,0.49
10/1/2023,Q3_2324,Hackney,Fair treatment,0.5
1/1/2024,Q4_2324,Hackney,Fair treatment,0.47
4/1/2024,Q1_2425,Hackney,Fair treatment,0.52
7/1/2024,Q2_2425,Hackney,Fair treatment,0.52
10/1/2024,Q3_2425,Hackney,Fair treatment,0.55
1/1/2025,Q4_2425,Hackney,Fair treatment,0.59
4/1/2025,Q1_2526,Hackney,Fair treatment,0.59
7/1/2025,Q2_2526,Hackney,Fair treatment,0.57
10/1/2025,Q3_2526,Hackney,Fair treatment,0.55
1/1/2026,Q4_2526,Hackney,Fair treatment,0.58
10/1/2014,Q3_1415,Hammersmith and Fulham,Good job,0.74
1/1/2015,Q4_1415,Hammersmith and Fulham,Good job,0.71
4/1/2015,Q1_1516,Hammersmith and Fulham,Good job,0.72
7/1/2015,Q2_1516,Hammersmith and Fulham,Good job,0.76
10/1/2015,Q3_1516,Hammersmith and Fulham,Good job,0.75
1/1/2016,Q4_1516,Hammersmith and Fulham,Good job,0.79
4/1/2016,Q1_1617,Hammersmith and Fulham,Good job,0.84
7/1/2016,Q2_1617,Hammersmith and Fulham,Good job,0.82
10/1/2016,Q3_1617,Hammersmith and Fulham,Good job,0.8
1/1/2017,Q4_1617,Hammersmith and Fulham,Good job,0.78
4/1/2017,Q1_1718,Hammersmith and Fulham,Good job,0.77
7/1/2017,Q2_1718,Hammersmith and Fulham,Good job,0.77
10/1/2017,Q3_1718,Hammersmith and Fulham,Good job,0.79
1/1/2018,Q4_1718,Hammersmith and Fulham,Good job,0.75
4/1/2018,Q1_1819,Hammersmith and Fulham,Good job,0.72
7/1/2018,Q2_1819,Hammersmith and Fulham,Good job,0.72
10/1/2018,Q3_1819,Hammersmith and Fulham,Good job,0.69
1/1/2019,Q4_1819,Hammersmith and Fulham,Good job,0.69
4/1/2019,Q1_1920,Hammersmith and Fulham,Good job,0.67
7/1/2019,Q2_1920,Hammersmith and Fulham,Good job,0.66
10/1/2019,Q3_1920,Hammersmith and Fulham,Good job,0.64
1/1/2020,Q4_1920,Hammersmith and Fulham,Good job,0.62
4/1/2020,Q1_2021,Hammersmith and Fulham,Good job,0.63
7/1/2020,Q2_2021,Hammersmith and Fulham,Good job,0.62
10/1/2020,Q3_2021,Hammersmith and Fulham,Good job,0.63
1/1/2021,Q4_2021,Hammersmith and Fulham,Good job,0.63
4/1/2021,Q1_2122,Hammersmith and Fulham,Good job,0.6
7/1/2021,Q2_2122,Hammersmith and Fulham,Good job,0.57
10/1/2021,Q3_2122,Hammersmith and Fulham,Good job,0.55
1/1/2022,Q4_2122,Hammersmith and Fulham,Good job,0.51
4/1/2022,Q1_2223,Hammersmith and Fulham,Good job,0.55
7/1/2022,Q2_2223,Hammersmith and Fulham,Good job,0.55
10/1/2022,Q3_2223,Hammersmith and Fulham,Good job,0.5
1/1/2023,Q4_2223,Hammersmith and Fulham,Good job,0.53
4/1/2023,Q1_2324,Hammersmith and Fulham,Good job,0.5
7/1/2023,Q2_2324,Hammersmith and Fulham,Good job,0.48
10/1/2023,Q3_2324,Hammersmith and Fulham,Good job,0.51
1/1/2024,Q4_2324,Hammersmith and Fulham,Good job,0.54
4/1/2024,Q1_2425,Hammersmith and Fulham,Good job,0.51
7/1/2024,Q2_2425,Hammersmith and Fulham,Good job,0.52
10/1/2024,Q3_2425,Hammersmith and Fulham,Good job,0.51
1/1/2025,Q4_2425,Hammersmith and Fulham,Good job,0.46
4/1/2025,Q1_2526,Hammersmith and Fulham,Good job,0.49
7/1/2025,Q2_2526,Hammersmith and Fulham,Good job,0.49
10/1/2025,Q3_2526,Hammersmith and Fulham,Good job,0.46
1/1/2026,Q4_2526,Hammersmith and Fulham,Good job,0.46
1/1/2016,Q4_1516,Hammersmith and Fulham,Trust MPS,0.92
4/1/2016,Q1_1617,Hammersmith and Fulham,Trust MPS,0.93
7/1/2016,Q2_1617,Hammersmith and Fulham,Trust MPS,0.94
10/1/2016,Q3_1617,Hammersmith and Fulham,Trust MPS,0.92
1/1/2017,Q4_1617,Hammersmith and Fulham,Trust MPS,0.91
4/1/2017,Q1_1718,Hammersmith and Fulham,Trust MPS,0.91
7/1/2017,Q2_1718,Hammersmith and Fulham,Trust MPS,0.89
10/1/2017,Q3_1718,Hammersmith and Fulham,Trust MPS,0.9
1/1/2018,Q4_1718,Hammersmith and Fulham,Trust MPS,0.9
4/1/2018,Q1_1819,Hammersmith and Fulham,Trust MPS,0.89
7/1/2018,Q2_1819,Hammersmith and Fulham,Trust MPS,0.89
10/1/2018,Q3_1819,Hammersmith and Fulham,Trust MPS,0.88
1/1/2019,Q4_1819,Hammersmith and Fulham,Trust MPS,0.87
4/1/2019,Q1_1920,Hammersmith and Fulham,Trust MPS,0.85
7/1/2019,Q2_1920,Hammersmith and Fulham,Trust MPS,0.84
10/1/2019,Q3_1920,Hammersmith and Fulham,Trust MPS,0.85
1/1/2020,Q4_1920,Hammersmith and Fulham,Trust MPS,0.84
4/1/2020,Q1_2021,Hammersmith and Fulham,Trust MPS,0.85
7/1/2020,Q2_2021,Hammersmith and Fulham,Trust MPS,0.84
10/1/2020,Q3_2021,Hammersmith and Fulham,Trust MPS,0.82
1/1/2021,Q4_2021,Hammersmith and Fulham,Trust MPS,0.79
4/1/2021,Q1_2122,Hammersmith and Fulham,Trust MPS,0.81
7/1/2021,Q2_2122,Hammersmith and Fulham,Trust MPS,0.78
10/1/2021,Q3_2122,Hammersmith and Fulham,Trust MPS,0.79
1/1/2022,Q4_2122,Hammersmith and Fulham,Trust MPS,0.76
4/1/2022,Q1_2223,Hammersmith and Fulham,Trust MPS,0.75
7/1/2022,Q2_2223,Hammersmith and Fulham,Trust MPS,0.74
10/1/2022,Q3_2223,Hammersmith and Fulham,Trust MPS,0.69
1/1/2023,Q4_2223,Hammersmith and Fulham,Trust MPS,0.7
4/1/2023,Q1_2324,Hammersmith and Fulham,Trust MPS,0.66
7/1/2023,Q2_2324,Hammersmith and Fulham,Trust MPS,0.7
10/1/2023,Q3_2324,Hammersmith and Fulham,Trust MPS,0.7
1/1/2024,Q4_2324,Hammersmith and Fulham,Trust MPS,0.73
4/1/2024,Q1_2425,Hammersmith and Fulham,Trust MPS,0.74
7/1/2024,Q2_2425,Hammersmith and Fulham,Trust MPS,0.73
10/1/2024,Q3_2425,Hammersmith and Fulham,Trust MPS,0.74
1/1/2025,Q4_2425,Hammersmith and Fulham,Trust MPS,0.75
4/1/2025,Q1_2526,Hammersmith and Fulham,Trust MPS,0.76
7/1/2025,Q2_2526,Hammersmith and Fulham,Trust MPS,0.77
10/1/2025,Q3_2526,Hammersmith and Fulham,Trust MPS,0.75
1/1/2026,Q4_2526,Hammersmith and Fulham,Trust MPS,0.75
10/1/2014,Q3_1415,Hammersmith and Fulham,Fair treatment,0.72
1/1/2015,Q4_1415,Hammersmith and Fulham,Fair treatment,0.72
4/1/2015,Q1_1516,Hammersmith and Fulham,Fair treatment,0.73
7/1/2015,Q2_1516,Hammersmith and Fulham,Fair treatment,0.76
10/1/2015,Q3_1516,Hammersmith and Fulham,Fair treatment,0.8
1/1/2016,Q4_1516,Hammersmith and Fulham,Fair treatment,0.82
4/1/2016,Q1_1617,Hammersmith and Fulham,Fair treatment,0.81
7/1/2016,Q2_1617,Hammersmith and Fulham,Fair treatment,0.8
10/1/2016,Q3_1617,Hammersmith and Fulham,Fair treatment,0.78
1/1/2017,Q4_1617,Hammersmith and Fulham,Fair treatment,0.8
4/1/2017,Q1_1718,Hammersmith and Fulham,Fair treatment,0.83
7/1/2017,Q2_1718,Hammersmith and Fulham,Fair treatment,0.85
10/1/2017,Q3_1718,Hammersmith and Fulham,Fair treatment,0.85
